,Model,Best C,Test Accuracy,Test Macro F1,mnir_no_chi2_lowfreq_filter_applied,mnir_no_chi2_feature_limit,mnir_no_chi2_min_train_df,mnir_no_chi2_original_features,mnir_no_chi2_selected_features,mnir_no_chi2_removed_features,mnir_no_chi2_zero_train_features,mnir_no_chi2_filter_reason
0,Majority Class,,0.8762704374723818,0.3113518605746585,,,,,,,,
1,BOW + SVM,0.0625,0.8139637649138312,0.3898670232644735,,,,,,,,
2,BOW + SVM (No Chi-square),0.0625,0.8205921343349536,0.4204316459352886,,,,,,,,
3,Proposed MNIR + SVM (No Chi-square),0.25,0.8373840035351303,0.358933947043609,True,,1.0,21428.0,20658.0,770.0,770.0,train_df_gte_1
4,Proposed MNIR + SVM,0.25,0.8484312859036677,0.35496349752450107,,,,,,,,
