,K,Selected Features,Feature Variant,Best C,Validation Accuracy,Validation Macro F1
0,1000,1000,bow_chi2_k1000,0.0625,0.8232044198895028,0.5429525172014442
1,3000,3000,bow_chi2_k3000,0.0625,0.8176795580110497,0.5401864958993371
2,5000,5000,bow_chi2_k5000,0.0625,0.8121546961325967,0.5374004360788501
3,10000,5773,bow_chi2_k5773,0.0625,0.8121546961325967,0.5374004360788501
