,Model,Best C,Test Accuracy,Test Macro F1,mnir_no_chi2_lowfreq_filter_applied,mnir_no_chi2_feature_limit,mnir_no_chi2_min_train_df,mnir_no_chi2_original_features,mnir_no_chi2_selected_features,mnir_no_chi2_removed_features,mnir_no_chi2_zero_train_features,mnir_no_chi2_filter_reason
0,Majority Class,,0.580110497237569,0.24475524475524477,,,,,,,,
1,BOW + SVM,4.0,0.8425414364640884,0.631444567893166,,,,,,,,
2,BOW + SVM (No Chi-square),0.0625,0.8674033149171271,0.6494764348387689,,,,,,,,
3,Proposed MNIR + SVM (No Chi-square),0.0625,0.8149171270718232,0.5432054693753922,True,,1.0,5773.0,5634.0,139.0,139.0,train_df_gte_1
4,Proposed MNIR + SVM,0.0625,0.8176795580110497,0.5431509121061361,,,,,,,,
