,total_return,annual_return,annual_volatility,sharpe,max_drawdown,trades,win_rate,profit_factor,avg_return,price_mode,factor_mode,equity_mode
Strategy,0.7919898455336283,0.12867920120855855,0.11930158371736,1.0786043001190602,-0.20075480497414455,1066.0,0.5412757973733584,1.2623919548964286,0.0007429548269546231,legacy_next_session,legacy,additive
BuyHold,1.4377265227650735,0.2335957986697605,0.21936013919685313,1.0648962912087339,-0.3655245335951184,1545.0,0.5546925566343042,1.2149951212516703,0.000930567328650533,legacy_next_session,legacy,additive
