Date,PCR,看漲(Call) IV 平均值,看漲(Call) IV 樣本標準差,看跌(Put) IV 平均值,看跌(Put) IV 樣本標準差
2022-01-03,0.9709293046599363,0.06117051824127759,0.03715521442575746,0.06520523299595297,0.051046202528404735
2022-01-04,0.9929002978485817,0.05113769270110303,0.04708747324297061,0.06561770160995263,0.047707337053682554
2022-01-05,1.00571746805001,0.04291820184811816,0.04009229861289461,0.04776936870262938,0.0607880678560199
2022-01-06,0.9421717677771579,0.08650553175185342,0.02758675206188841,0.1258088215038834,0.05268643446433861
2022-01-07,0.9254838766411354,0.11334571335235263,0.031996676319982376,0.10451925681166739,0.053457406075462975
2022-01-10,1.038239879797673,0.0729941564799168,0.02381072380262498,0.1326856824548459,0.04660704811463373
2022-01-11,0.990609687675332,0.05545357278533731,0.03267573574426025,0.10457494152984699,0.04747027034067613
2022-01-12,1.011295593966828,0.06889720200140384,0.06000214234102648,0.08918634483424666,0.07188509688076902
2022-01-13,0.9632252252980074,0.1325297587763885,0.0463324825228249,0.1737401480883313,0.04208992668871798
2022-01-14,0.896534728669086,0.1470211467764795,0.0573797269710703,0.17946799296472207,0.06283573281079997
2022-01-17,1.120177194516509,0.1352624692988698,0.07483729096537808,0.26220099547985093,0.1576643784512869
2022-01-18,1.0838216160437883,0.04551298856787848,0.023180685359879535,0.03647631981116206,0.04924235045922658
2022-01-19,1.0426314052075611,0.03476621391123331,0.027124546722561933,0.04728403044323937,0.06642117405138169
2022-01-20,1.1158531216061522,0.08060869520250843,0.03545124727084056,0.11173536366213495,0.0560638664853298
2022-01-21,0.8526733501327474,0.08290483764706655,0.031090380298225712,0.09338535616832203,0.05318906713028797
2022-01-24,1.0269303938367715,0.04906246990512204,0.026703245204397725,0.10511490248569128,0.04932656884614715
2022-01-25,0.9041668044530646,0.06741431564888357,0.030264504755476082,0.10337566413477532,0.095986121634644
2022-01-26,1.1130169502325877,0.044202536669626265,0.039358299385133126,0.08143045568342454,0.09270985743234493
2022-02-07,1.0279595104655153,0.09527308668694837,0.07366909567735555,0.12528809954189313,0.1311816025572916
2022-02-08,1.297159537834956,0.08844898710296277,0.06842840782473825,0.10758366482941718,0.12135529934156578
2022-02-09,1.2066083429977488,0.10405509579083502,0.07753337561527594,0.12103495603127956,0.1528324415928059
2022-02-10,1.191272508363243,0.0906959778462043,0.07803857097326304,0.2167812591165499,0.1576118546384365
2022-02-11,1.1885291672354101,0.10946171080951642,0.03645946334184134,0.24804525735690258,0.22655222432150857
2022-02-14,1.0763441696191565,0.22942442838627786,0.07545529959799169,0.34176294557813053,0.3985157588216681
2022-02-15,1.086789686617281,0.04991170276720358,0.031030928448553194,0.0700628043132025,0.09007585704727464
2022-02-16,1.0654023335313714,0.02531023094385225,0.03460846833872584,0.04844586803962226,0.05165596333953374
2022-02-17,1.1994774118132434,0.07861619651182003,0.04332612525383773,0.11679741208698886,0.09587659889484144
2022-02-18,1.240274061105417,0.05967048288099553,0.022760059010809637,0.1112392490873874,0.07015966116442204
2022-02-21,1.1891939681056916,0.058114183195563336,0.03134905404978229,0.09705586068255168,0.07168243880177166
2022-02-22,1.012405533366449,0.05796188011623623,0.033238356689823084,0.09076990559571306,0.08379017239264008
2022-02-23,1.1060801607429092,0.03065675963021337,0.03608488614058731,0.061913757317303704,0.06599692021261157
2022-02-24,1.0930382239641872,0.12311685283263507,0.03401300054818099,0.14505919988398522,0.08716518792049018
2022-02-25,1.047790318688039,0.09267427901168324,0.04786857893873775,0.17813675485802602,0.08088638250135549
2022-03-01,1.1745718493268447,0.06884208267397089,0.059321719297281666,0.12898984774398448,0.10195099634839344
2022-03-02,1.0437535981577433,0.03879564260827926,0.03788431831509608,0.08351081796943767,0.1060007575202279
2022-03-03,1.185519186038957,0.10730672340832,0.031533930848561986,0.2542755672430056,0.09317516475509045
