,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.676081200353045,0.2689134632262594
1,TF + SVM,2.0,0.6937334510150044,0.3972540531364061
2,Proposed MNIR + SVM,0.25,0.6866725507502206,0.320197030920064
