,K,Selected Features,Feature Variant,Best C,Validation Accuracy,Validation Macro F1
0,3000,3000,tf_chi2_k3000,4.0,0.6872791519434629,0.48889063061951327
1,5000,5000,tf_chi2_k5000,2.0,0.6925795053003534,0.48531593794751693
2,10000,10000,tf_chi2_k10000,4.0,0.6819787985865724,0.48163619167717525
3,1000,1000,tf_chi2_k1000,2.0,0.6978798586572438,0.4686423034516602
