,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.675,0.26865671641791045
1,BOW + SVM,0.25,0.6541666666666667,0.39623441535022974
2,Proposed MNIR + SVM,0.25,0.65,0.31231081291933216
