,K,Selected Features,Feature Variant,Best C,Validation Accuracy,Validation Macro F1
0,10000,10000,bow_chi2_k10000,0.0625,0.928817451205511,0.38166781864260857
1,5000,5000,bow_chi2_k5000,0.0625,0.9280520474550326,0.3809834654510395
2,3000,3000,bow_chi2_k3000,2.0,0.9303482587064676,0.3699057536992125
3,1000,1000,bow_chi2_k1000,0.25,0.9337925755836204,0.36984878107713065
