,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.9343791850009566,0.3220255167639205
1,BOW + SVM,0.5,0.952745360627511,0.5641998644505914
2,Proposed MNIR + SVM,0.0625,0.9244308398699064,0.3603313320649586
3,BOW + SVM (No Chi-square),0.0625,0.9481538167208724,0.594938891384597
4,Proposed MNIR + SVM (No Chi-square),0.25,0.9246221541993496,0.36709259187431204
