Date,C_mean,C_std,P_mean,P_std,PCR
2020/01/02,0.06067211505181774,0.05479542497391655,0.07738760655561867,0.07163024806215115,3.318862275449102
2020/01/03,0.0807647489786148,0.044505315025042444,0.13112485801244708,0.11373823297444087,1.1347368421052633
2020/01/06,0.09790655107326444,0.04186264081365359,0.12160534763298618,0.13777354649933796,0.6439259447121481
2020/01/07,0.0812524849541516,0.049447841296195436,0.0772009621358534,0.06627705810883018,0.6300889389953651
2020/01/08,0.08222362829257979,0.060475846524639616,0.11691464919256836,0.12479589841627171,0.701052016364699
2020/01/09,0.1442805058326361,0.054674637889808926,0.21694622991960255,0.06435135041487265,0.9582210242587601
2020/01/10,0.14576590544060816,0.04281723927575733,0.23729029602320373,0.0994421663507608,1.2584943371085944
2020/01/13,0.1391668417553569,0.1007005550231737,0.2353626430520356,0.1646045417363194,1.8644961240310078
2020/01/14,0.19120078691003936,0.16268622866745194,0.30683681096883103,0.3496381004439958,1.558096415327565
2020/01/15,0.027923376785104696,0.02218119218233552,0.06619311324542329,0.07051715714057333,0.5332014072119613
2020/01/16,0.0612162069885469,0.018948449435095015,0.10163077405736416,0.04108935983984078,1.6257621951219512
2020/01/17,0.059564352957747625,0.021622379082813174,0.09001141864875564,0.036556878808835166,1.2483660130718954
2020/01/20,0.06344872126464046,0.02682983872333218,0.08313826732356694,0.04954561629306856,1.519268451992162
2020/01/30,0.09868034448028076,0.05671725031897119,0.14721976314513588,0.11534553210485572,0.31527203664395037
2020/01/31,0.10517783224777409,0.044222503661774375,0.15483080286067674,0.0780093362188561,0.8396582055792913
2020/02/03,0.10605654346840679,0.07240263022601547,0.18080577820574908,0.08043040984811244,1.0302164148632096
2020/02/04,0.06458925684349157,0.04598602668413338,0.12545936617934914,0.07984344727594589,1.8330042313117065
2020/02/05,0.053571417117521086,0.0424439312889053,0.07564572576348108,0.07549145758764253,1.115063079495364
2020/02/06,0.0920387470536603,0.04766313013819976,0.20437010026663163,0.07189825728501135,1.2607784431137725
2020/02/07,0.13111650077685155,0.08043660169972232,0.17387715229137365,0.09813842046785662,1.2013688760806915
2020/02/10,0.10329398211667579,0.04977096190703822,0.20192956903148665,0.09673597075723706,1.1490901118175838
2020/02/11,0.10127901968652632,0.07787783525183595,0.13665157240123993,0.10616705403942509,1.6068560840024706
2020/02/12,0.08706693918308649,0.07012141520108234,0.12685429750527724,0.11019877683830404,1.8699397071490094
2020/02/13,0.15789612498035613,0.03931960576739761,0.2254012953450504,0.11832362866743298,1.1063980205019441
2020/02/14,0.13808445242735054,0.051223110189882744,0.2127447834218669,0.13068219885663626,1.1842105263157894
2020/02/17,0.17151847909861673,0.07643736159995329,0.24877253247214062,0.20627396703838477,1.030581947743468
2020/02/18,0.26398761838137025,0.1660388506734637,0.24516655687068187,0.21759071706864055,0.9195056780227121
2020/02/19,0.03864552830278996,0.03919926418700102,0.05479049827978323,0.055088916079883865,1.9134643590495746
2020/02/20,0.07991401836412762,0.02907441527102618,0.09666995724853203,0.06588137479839212,1.011467889908257
2020/02/21,0.07022097607176546,0.028111836064597107,0.09743791023085564,0.06331197454469727,1.0482110369921165
2020/02/24,0.07680844421582285,0.03609918019526867,0.10809465638581589,0.08222266084220421,0.972496984318456
2020/02/25,0.051556855625197524,0.03630899010626398,0.10598065107955774,0.07121370203985289,1.4320572149768616
2020/02/26,0.04937816111366898,0.047014888809480224,0.07977518114176664,0.10194988250860453,0.9978401727861771
2020/02/27,0.13774798852383038,0.043186892742424744,0.1899364618803956,0.10688008194430396,1.235240413877054
2020/03/02,0.1216333181731094,0.04664288121508345,0.20527178785976946,0.13911880393566586,1.1020710059171597
2020/03/03,0.07462060284093563,0.045677738618499,0.11863994362227256,0.09548215326484344,1.1211238293444328
2020/03/04,0.05928042118637649,0.05321871577155125,0.09578636255451899,0.11133742243531906,2.1156966490299824
2020/03/05,0.1009352943884894,0.03769317463212608,0.21493729840959597,0.09227114399483285,1.293782383419689
2020/03/06,0.1445161575750793,0.04384193346107514,0.2144611136118571,0.13346381805550733,1.079350766456267
2020/03/09,0.19700878413574885,0.060589621735942595,0.27384411648545304,0.14528465845402333,0.5955031166518254
2020/03/10,0.12358300741738275,0.07201039005392582,0.295167940663452,0.1816708645988216,1.0161569532602424
2020/03/11,0.15683043415765108,0.10907026833477125,0.20243170158532753,0.23549990042687818,0.48845413726747916
2020/03/12,0.3617886639001801,0.08032451822388975,0.549885383513125,0.21564256190441222,0.7344881889763779
2020/03/13,0.36525984784831167,0.11250619548158593,0.9439022354989449,0.45077488736512233,0.892162471395881
2020/03/16,0.8393532551914811,0.2619139721868101,1.1563230587160203,0.7328266185840016,0.48135398737808377
2020/03/17,0.897519224386752,0.35571006525679516,1.22370419857973,0.806980903721859,1.0765564492106048
2020/03/18,0.11758863212396777,0.09064074849694952,0.2398370944530683,0.28146269796455475,0.6155386463756508
2020/03/19,0.29299699003252955,0.06310125465181914,0.5915453169896052,0.25432216009325215,0.2480127186009539
2020/03/20,0.18825789213604774,0.07826616679947992,0.40432875871405494,0.15717434830210586,0.8389679715302492
2020/03/23,0.22084192201000147,0.0886589264153575,0.3417493291182711,0.17785954498017129,0.7349152542372881
2020/03/24,0.13505092611724787,0.07369499433959391,0.19107169604597285,0.10309546877264134,2.1591033351558226
2020/03/25,0.06942904895981418,0.08173821066436107,0.19578411910837012,0.27330313565481185,3.195876288659794
2020/03/26,0.2529696290786952,0.08402823680779321,0.5746982090603221,0.2603518898334618,0.837138508371385
2020/03/27,0.24058111869682694,0.08192843260515881,0.3958043174743651,0.20598823214972342,0.8782742681047766
2020/03/30,0.1613350276900068,0.06089670178052925,0.3466880602521778,0.17160014770557727,0.7954048140043763
2020/03/31,0.10877689981204332,0.08436992989115931,0.19452945644284336,0.1335177298897661,1.2051783097215438
2020/04/01,0.08091586584740496,0.07976913925137841,0.11692798898959193,0.1604514140276182,1.1101063829787234
2020/04/06,0.17373425239791518,0.08954026208966541,0.38159027592355843,0.23503050449622118,1.4206714944042134
2020/04/07,0.13623593604694711,0.08510863958643983,0.2593198497940512,0.19111186533469574,2.4727272727272727
2020/04/08,0.12974197248839056,0.09882981357175807,0.22077830274220375,0.21780719476607052,2.279510022271715
2020/04/09,0.30777464222107953,0.15577907140723388,0.42991333407740434,0.1854797836102585,1.22751677852349
2020/04/10,0.23154597373962402,0.09033424678512263,0.49362416174927004,0.29219385831091194,1.3908571428571428
2020/04/13,0.35758825644640846,0.17525255383106925,0.5287967196205594,0.3757226580589432,1.1600512163892445
2020/04/14,0.29169636707235586,0.2518317582354975,0.46603177986206773,0.35461601653890507,2.2773453502662844
2020/04/15,0.06884959993626287,0.06370314332181537,0.07193003190322762,0.10177868892409031,2.6383399209486167
2020/04/16,0.10090739264207728,0.04262699917406505,0.2062582289783168,0.12471114716724697,0.8860877684407096
2020/04/17,0.0983069576915204,0.045262297283328305,0.1453426574187217,0.09692505780740514,1.317128321085359
2020/04/20,0.08175785636411438,0.04834174318089419,0.1365960133075714,0.10793552791157332,0.8117088607594937
2020/04/21,0.09142183620538283,0.04981092460684692,0.12442098449298036,0.1437605675929892,0.6459806231997905
2020/04/22,0.06269494710182076,0.06550681228593143,0.11377439515359365,0.14307802709229137,1.92
2020/04/23,0.1136580389313631,0.04349140320299582,0.19252615599928494,0.10724306484710525,0.9111381618989653
2020/04/24,0.09755771954696017,0.03375691088590598,0.1699406263743632,0.10839936502138751,1.0099601593625498
2020/04/27,0.08827866877477193,0.07430392396877021,0.13272223747986028,0.09451920215021499,3.7173539518900345
2020/04/28,0.06283260295105522,0.04649917188522495,0.09660407562924545,0.09136401694817702,2.1226080793763287
2020/04/29,0.07344173154423228,0.07386946717608951,0.09549449852025396,0.11849294647554606,3.4804832713754648
2020/04/30,0.12762065731359448,0.06607589744537792,0.22988786640789807,0.12292672234665104,1.3964088397790055
2020/05/04,0.12429780732607144,0.06534820859846602,0.2152365537092719,0.1335282723785209,0.9874826147426982
2020/05/05,0.08878921479248418,0.05756146859226934,0.1286804980362058,0.09925581226515105,1.4336585365853658
2020/05/06,0.06385312366043568,0.06876958508958464,0.10447565754600192,0.14485723644953888,1.2437234453456933
2020/05/07,0.15360405704518057,0.047791534579686525,0.2614856226627643,0.1343597668978021,1.5357512953367876
