Date,Call_IV_Mean,Put_IV_Mean,Call_IV_Std,Put_IV_Std,Call_Count,Put_Count,Call_Volume,Put_Volume,PCR (Trade Count),PCR (Volume)
2023-01-03,0.03057440728295247,0.07223611945739988,0.03057764229208982,0.03990284646904942,3734,3887,199267.0,204890.0,1.0409748259239422,1.0282184205111735
2023-01-04,0.04102897458346578,0.030683136036904715,0.03247745816173142,0.03385200217964803,3247,3706,177565.0,201532.0,1.1413612565445026,1.1349759243094077
2023-01-05,0.08162499035960023,0.11422121105811278,0.020617412975641007,0.03969596724758651,1201,1177,64297.0,62091.0,0.9800166527893422,0.9656904676734529
2023-01-06,0.06957954337291505,0.10960195201970352,0.02981851404713747,0.039619157190060386,1639,1886,89180.0,101151.0,1.1507016473459426,1.1342341332137251
2023-01-09,0.03955624127443266,0.12177889994592321,0.05410053498589908,0.04736287111209062,2648,4534,141212.0,255081.0,1.7122356495468278,1.8063691470979804
2023-01-10,0.05791480391536912,0.075606749872745,0.037881606740647396,0.05083446898233293,2511,3726,139985.0,211004.0,1.4838709677419355,1.5073329285280566
2023-01-11,0.05020978602691162,0.03968268063415469,0.04423730348892824,0.056406253572054234,3387,4263,194322.0,242178.0,1.258635961027458,1.2462716522061321
2023-01-12,0.15455329874440774,0.16077567398191692,0.009831928120903185,0.027778111918769593,797,761,43514.0,37820.0,0.9548306148055207,0.8691455623477502
2023-01-13,0.14716571314659188,0.14340715140091254,0.016777103160855202,0.02436706416233113,1584,1430,90376.0,77024.0,0.9027777777777778,0.8522616623882446
2023-01-16,0.12085801167964864,0.15414158953222845,0.011587603321749563,0.025968846164892232,1157,1141,67232.0,64867.0,0.986171132238548,0.9648232984293194
2023-01-17,0.11436791315691483,0.14423011067381616,0.009979491964209285,0.02654383109623661,849,969,45897.0,51781.0,1.1413427561837455,1.1282001002244155
2023-01-30,0.08390824165763404,0.17453525478697268,0.05029976533974456,0.10761155394665593,450,395,27580.0,21511.0,0.8777777777777778,0.7799492385786801
2023-01-31,0.0852729042937368,0.04197320044259985,0.04314277214614806,0.05567846194261119,2382,1766,127507.0,90109.0,0.7413937867338372,0.7066984557710557
2023-02-01,0.0327830797401996,0.06865618398796115,0.05192192063757602,0.050172987087726696,2813,2699,156332.0,147364.0,0.9594738713117668,0.9426349052017501
2023-02-02,0.08887739627709375,0.15116525549898654,0.03484850167279585,0.042204475235014416,1424,1591,77746.0,82330.0,1.1172752808988764,1.0589612327322306
2023-02-03,0.09488886736396056,0.1297331447491602,0.02774223517175825,0.04203429832448533,1355,1283,74924.0,70137.0,0.9468634686346864,0.936108590037905
