term,mean_abs_shap,svm_coef,mean_test_value
上訴人,0.43179689221684114,3.7596832225180754,0.0673028256833917
商品,0.049565891811689175,-0.5700485187538581,0.06423169602345064
原告,0.045804857717886116,0.5604387200641981,0.13114218722432922
著作,0.04560662925143236,-0.8253706000063329,0.03821855596192045
附表,0.04123790070121834,-1.0304667282687576,0.027176044326527482
商標,0.0405320624408689,-0.3163554380063738,0.11216613987034904
涉外,0.038365901326691806,-0.5132916264995189,0.046381947922727255
我國,0.036630724822262845,-0.5786473142870647,0.04537267364497335
損害,0.035232489725357426,-0.9048573623675986,0.037160755920578756
陳述,0.03297924240016289,0.9828223824424094,0.017664125973632445
裁判,0.030749392704044268,-0.8494394929316248,0.020501082918427983
請求,0.02970279940351144,-1.0143070011523696,0.030290027161855856
行為,0.028281754840307278,-0.47093583960531643,0.04858747955450319
部分,0.027960959648512387,-0.9758175495881728,0.02194580329373419
提起,0.02661925722663609,0.9815219811994292,0.020624204121074675
駁回,0.02636259327857478,0.9543548942782856,0.017424097893241813
侵權,0.024415306415625025,-0.38560580569063313,0.049126436959230184
公分,0.019768813172930524,-0.6944931144262027,0.014097742893197776
理由,0.019706004036080266,0.6762581571802847,0.01566542701801196
賠償,0.01950901200500036,-0.5382832670499369,0.03737530105912102
註冊,0.01941208152883118,-0.5676632099148008,0.02347808508070655
規定,0.01888517749443688,-0.6675563058800527,0.03598066667562377
被告,0.01846337259953508,-0.3240504844708463,0.09008244983113653
公司,0.01827590053153585,0.27965531328059196,0.06179806545690419
上訴,0.017674441706897664,0.9224810940306608,0.01060526852582216
法院,0.01766125542208602,0.4064273424816468,0.03376585910341488
著作權,0.01671913618310782,-0.40839608169744557,0.02919542786931319
管轄權,0.01631636152180685,-0.3552006924256756,0.02929230803300428
電腦,0.016132092088383575,-0.6621944627335639,0.013533585603990855
仿冒,0.015892938010504745,-0.3237992105336611,0.0301681556310477
