Date,00679B
2023-01-12,32.2
2023-01-13,32.5
2023-01-16,32.26
2023-01-17,32.17
2023-01-30,32.3
2023-01-31,32.04
2023-02-01,32.12
2023-02-02,32.15
2023-02-03,32.41
2023-02-06,32.08
2023-02-07,31.98
2023-02-08,31.8
2023-02-09,31.78
2023-02-10,31.67
2023-02-13,31.4
2023-02-14,31.62
2023-02-15,31.76
2023-02-16,31.1
2023-02-17,30.73
2023-02-20,31.09
2023-02-21,31.1
2023-02-22,30.96
2023-02-23,30.96
2023-02-24,31.21
2023-03-01,31.04
2023-03-02,30.89
2023-03-03,30.82
2023-03-06,31.13
2023-03-07,31.05
2023-03-08,31.1
2023-03-09,31.12
2023-03-10,31.79
2023-03-13,31.79
2023-03-14,32.15
2023-03-15,31.82
2023-03-16,32.39
2023-03-17,32.18
2023-03-20,32.5
2023-03-21,32.41
2023-03-22,32.04
2023-03-23,32.09
2023-03-24,32.1
2023-03-27,32.28
2023-03-28,31.69
2023-03-29,31.66
2023-03-30,31.63
2023-03-31,31.75
2023-04-06,32.89
2023-04-07,32.89
2023-04-10,32.73
2023-04-11,32.56
2023-04-12,32.53
2023-04-13,32.52
2023-04-14,32.25
2023-04-17,32.04
2023-04-18,31.79
2023-04-19,31.89
2023-04-20,32.02
2023-04-21,32.29
2023-04-24,32.15
2023-04-25,32.5
2023-04-26,32.76
2023-04-27,32.51
2023-04-28,32.46
2023-05-02,32.28
2023-05-03,32.65
2023-05-04,32.81
2023-05-05,32.63
2023-05-08,32.73
2023-05-09,32.51
2023-05-10,32.47
2023-05-11,32.64
2023-05-12,32.85
2023-05-15,32.75
2023-05-16,32.69
2023-05-17,32.41
2023-05-18,32.4
2023-05-19,32.26
2023-05-22,32.1
2023-05-23,31.96
2023-05-24,31.76
2023-05-25,31.63
2023-05-26,31.77
2023-05-29,31.81
2023-05-30,31.82
2023-05-31,31.82
2023-06-01,31.77
2023-06-02,31.73
2023-06-05,31.33
2023-06-06,31.19
2023-06-07,31.43
2023-06-08,31.03
2023-06-09,31.21
2023-06-12,31.23
2023-06-13,31.32
2023-06-14,31.16
2023-06-15,31.22
2023-06-16,31.45
2023-06-19,31.52
2023-06-20,31.39
2023-06-21,31.75
2023-06-26,31.91
2023-06-27,31.85
2023-06-28,31.8
2023-06-29,31.88
2023-06-30,31.59
2023-07-03,31.77
2023-07-04,31.76
2023-07-05,31.71
2023-07-06,31.51
2023-07-07,31.18
2023-07-10,31.0
2023-07-11,31.12
2023-07-12,31.11
2023-07-13,31.18
2023-07-14,31.29
2023-07-17,31.37
2023-07-18,31.35
2023-07-19,31.59
2023-07-20,31.76
2023-07-21,31.63
2023-07-24,31.77
2023-07-25,31.66
2023-07-26,31.56
2023-07-27,31.53
2023-07-28,31.22
2023-07-31,31.22
2023-08-01,31.5
2023-08-02,31.23
2023-08-04,30.89
2023-08-07,31.16
2023-08-08,31.12
2023-08-09,31.28
2023-08-10,31.2
2023-08-11,31.02
2023-08-14,31.0
2023-08-15,30.97
2023-08-16,30.67
2023-08-17,30.4
2023-08-18,30.33
2023-08-21,30.2
2023-08-22,30.0
2023-08-23,30.26
2023-08-24,30.48
2023-08-25,30.31
2023-08-28,30.47
2023-08-29,30.48
2023-08-30,30.64
2023-08-31,30.79
2023-09-01,30.76
2023-09-04,30.48
2023-09-05,30.43
2023-09-06,30.3
2023-09-07,30.3
2023-09-08,30.44
2023-09-11,30.28
2023-09-12,30.24
2023-09-13,30.25
2023-09-14,30.26
2023-09-15,30.16
2023-09-18,30.02
2023-09-19,30.1
2023-09-20,30.01
2023-09-21,29.95
2023-09-22,29.2
2023-09-25,29.18
2023-09-26,28.73
2023-09-27,28.71
