,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.5791666666666667,0.24450307827616535
1,TF + SVM,1.0,0.8916666666666667,0.5970662881231986
2,Proposed MNIR + SVM,0.25,0.8416666666666667,0.5604906618404847
