leakage,dataset,feature,model,accuracy_no_chi2,accuracy_chi2,macro_f1_no_chi2,macro_f1_chi2,macro_f1_delta_no_minus_chi2,accuracy_delta_no_minus_chi2,dataset_label,model_label,feature_label,label
with_leakage,administrative_win_lose_mixed,bow,Proposed MNIR + SVM,0.8749447635881573,0.8753866548828988,0.31471334009958,0.3148169617898558,-0.00010362169027577917,-0.00044189129474148103,Administrative,MNIR + SVM,BOW,Administrative | BOW | MNIR + SVM
with_leakage,administrative_win_lose_mixed,tf,Proposed MNIR + SVM,0.8762704374723818,0.8762704374723818,0.3113518605746585,0.3113518605746585,0.0,0.0,Administrative,MNIR + SVM,TF,Administrative | TF | MNIR + SVM
with_leakage,administrative_win_lose_mixed,tf,TF + SVM,0.8780380026513478,0.8775961113566063,0.3345799231937845,0.3344757490667386,0.00010417412704588624,0.00044189129474148103,Administrative,Direct SVM,TF,Administrative | TF | Direct SVM
with_leakage,administrative_win_lose_mixed,tfidf,Proposed MNIR + SVM,0.8722934158197083,0.8731771984091914,0.3106704438149197,0.3109118086696562,-0.00024136485473646996,-0.0008837825894830731,Administrative,MNIR + SVM,TFIDF,Administrative | TFIDF | MNIR + SVM
with_leakage,administrative_win_lose_mixed,tfidf,TFIDF + SVM,0.856827220503756,0.8577110030932391,0.3799581474028057,0.3802988245032696,-0.0003406771004638709,-0.0008837825894830731,Administrative,Direct SVM,TFIDF,Administrative | TFIDF | Direct SVM
with_leakage,civil_win_lose_mixed,bow,BOW + SVM,0.6328331862312445,0.6390114739629302,0.4346249468927635,0.4077692708772442,0.026855676015519303,-0.0061782877316857165,Civil,Direct SVM,BOW,Civil | BOW | Direct SVM
with_leakage,civil_win_lose_mixed,bow,Proposed MNIR + SVM,0.6857899382171226,0.6813768755516328,0.3562335864011841,0.3387493259745615,0.0174842604266226,0.0044130626654897975,Civil,MNIR + SVM,BOW,Civil | BOW | MNIR + SVM
with_leakage,civil_win_lose_mixed,tf,Proposed MNIR + SVM,0.677846425419241,0.6928508384819064,0.2877956115447483,0.3369742921454803,-0.049178680600731994,-0.015004413062665423,Civil,MNIR + SVM,TF,Civil | TF | MNIR + SVM
with_leakage,civil_win_lose_mixed,tf,TF + SVM,0.6866725507502206,0.6804942630185349,0.4168659172289713,0.4047312896632744,0.012134627565696943,0.0061782877316857165,Civil,Direct SVM,TF,Civil | TF | Direct SVM
with_leakage,civil_win_lose_mixed,tfidf,Proposed MNIR + SVM,0.676081200353045,0.6946160635481023,0.3005907751949808,0.3643839911249382,-0.0637932159299574,-0.01853486319505737,Civil,MNIR + SVM,TFIDF,Civil | TFIDF | MNIR + SVM
with_leakage,civil_win_lose_mixed,tfidf,TFIDF + SVM,0.6813768755516328,0.6707855251544572,0.4095960239484579,0.4248405103668261,-0.015244486418368175,0.010591350397175625,Civil,Direct SVM,TFIDF,Civil | TFIDF | Direct SVM
with_leakage,criminal_win_lose_mixed,bow,BOW + SVM,0.9481538167208724,0.952745360627511,0.594938891384597,0.5641998644505914,0.030739026934005542,-0.004591543906638629,Criminal,Direct SVM,BOW,Criminal | BOW | Direct SVM
with_leakage,criminal_win_lose_mixed,bow,Proposed MNIR + SVM,0.9246221541993496,0.9244308398699064,0.367092591874312,0.3603313320649586,0.0067612598093533816,0.00019131432944319293,Criminal,MNIR + SVM,BOW,Criminal | BOW | MNIR + SVM
with_leakage,criminal_win_lose_mixed,tf,Proposed MNIR + SVM,0.9347618136598432,0.9334226133537402,0.3585787223587446,0.366934525782994,-0.008355803424249408,0.0013392003061030167,Criminal,MNIR + SVM,TF,Criminal | TF | MNIR + SVM
with_leakage,criminal_win_lose_mixed,tf,TF + SVM,0.9510235316625216,0.951980103309738,0.5798042707713537,0.5263386753614343,0.05346559540991935,-0.0009565716472164087,Criminal,Direct SVM,TF,Criminal | TF | Direct SVM
with_leakage,criminal_win_lose_mixed,tfidf,Proposed MNIR + SVM,0.9274918691409988,0.925578725846566,0.3717334414166315,0.382484774425432,-0.01075133300880049,0.0019131432944328175,Criminal,MNIR + SVM,TFIDF,Criminal | TFIDF | MNIR + SVM
with_leakage,criminal_win_lose_mixed,tfidf,TFIDF + SVM,0.9445188444614502,0.9426057011670174,0.5712932304460286,0.5598267680067295,0.011466462439299163,0.0019131432944328175,Criminal,Direct SVM,TFIDF,Criminal | TFIDF | Direct SVM
with_leakage,cwc_win_lose_mixed,bow,BOW + SVM,0.8591160220994475,0.8535911602209945,0.6385228154906174,0.6460228950989504,-0.007500079608332988,0.0055248618784530246,CWC,Direct SVM,BOW,CWC | BOW | Direct SVM
with_leakage,cwc_win_lose_mixed,bow,Proposed MNIR + SVM,0.8453038674033149,0.8535911602209945,0.5646772821198492,0.5705991539324873,-0.005921871812638035,-0.008287292817679592,CWC,MNIR + SVM,BOW,CWC | BOW | MNIR + SVM
with_leakage,cwc_win_lose_mixed,tf,Proposed MNIR + SVM,0.8480662983425414,0.8425414364640884,0.5632627925204344,0.5608024691358025,0.0024603233846319794,0.0055248618784530246,CWC,MNIR + SVM,TF,CWC | TF | MNIR + SVM
with_leakage,cwc_win_lose_mixed,tf,TF + SVM,0.8701657458563536,0.8701657458563536,0.5818530808770902,0.5818530808770902,0.0,0.0,CWC,Direct SVM,TF,CWC | TF | Direct SVM
with_leakage,cwc_win_lose_mixed,tfidf,Proposed MNIR + SVM,0.8425414364640884,0.8453038674033149,0.5602058242952515,0.5623458481775829,-0.0021400238823314766,-0.0027624309392264568,CWC,MNIR + SVM,TFIDF,CWC | TFIDF | MNIR + SVM
with_leakage,cwc_win_lose_mixed,tfidf,TFIDF + SVM,0.8812154696132597,0.8812154696132597,0.5898112088133397,0.5898112088133397,0.0,0.0,CWC,Direct SVM,TFIDF,CWC | TFIDF | Direct SVM
