Date,File,S0,Contract,ContractExpiryDate,Maturity,Rf
2020/7/22,OptionsDaily_2020_07_22.csv,12473.27,202008,2020/8/19,28,0.0084
2020/7/23,OptionsDaily_2020_07_23.csv,12413.04,202008,2020/8/19,27,0.0084
2020/7/24,OptionsDaily_2020_07_24.csv,12304.04,202008,2020/8/19,26,0.0084
2020/7/27,OptionsDaily_2020_07_27.csv,12588.3,202008,2020/8/19,23,0.0084
2020/7/28,OptionsDaily_2020_07_28.csv,12586.73,202008,2020/8/19,22,0.0084
2020/7/29,OptionsDaily_2020_07_29.csv,12540.97,202008,2020/8/19,21,0.0084
2020/7/30,OptionsDaily_2020_07_30.csv,12722.92,202008,2020/8/19,20,0.0084
2020/7/31,OptionsDaily_2020_07_31.csv,12664.8,202008,2020/8/19,19,0.0084
2020/8/3,OptionsDaily_2020_08_03.csv,12513.03,202008,2020/8/19,16,0.0084
2020/8/4,OptionsDaily_2020_08_04.csv,12709.92,202008,2020/8/19,15,0.0084
2020/8/5,OptionsDaily_2020_08_05.csv,12802.3,202008,2020/8/19,14,0.0084
2020/8/6,OptionsDaily_2020_08_06.csv,12913.5,202008,2020/8/19,13,0.0084
2020/8/7,OptionsDaily_2020_08_07.csv,12828.87,202008,2020/8/19,12,0.0084
2020/8/10,OptionsDaily_2020_08_10.csv,12894,202008,2020/8/19,9,0.0084
2020/8/11,OptionsDaily_2020_08_11.csv,12780.19,202008,2020/8/19,8,0.0084
2020/8/12,OptionsDaily_2020_08_12.csv,12670.35,202008,2020/8/19,7,0.0084
2020/8/13,OptionsDaily_2020_08_13.csv,12763.13,202008,2020/8/19,6,0.0084
2020/8/14,OptionsDaily_2020_08_14.csv,12795.46,202008,2020/8/19,5,0.0084
2020/8/17,OptionsDaily_2020_08_17.csv,12956.11,202008,2020/8/19,2,0.0084
2020/8/18,OptionsDaily_2020_08_18.csv,12872.14,202008,2020/8/19,1,0.0084
2020/8/19,OptionsDaily_2020_08_19.csv,12778.64,202009,2020/9/16,28,0.0084
2020/8/20,OptionsDaily_2020_08_20.csv,12362.64,202009,2020/9/16,27,0.0084
2020/8/21,OptionsDaily_2020_08_21.csv,12607.84,202009,2020/9/16,26,0.0084
2020/8/24,OptionsDaily_2020_08_24.csv,12647.13,202009,2020/9/16,23,0.0084
2020/8/25,OptionsDaily_2020_08_25.csv,12758.25,202009,2020/9/16,22,0.0084
2020/8/26,OptionsDaily_2020_08_26.csv,12833.29,202009,2020/9/16,21,0.0084
2020/8/27,OptionsDaily_2020_08_27.csv,12797.31,202009,2020/9/16,20,0.0084
2020/8/28,OptionsDaily_2020_08_28.csv,12728.85,202009,2020/9/16,19,0.0084
2020/8/31,OptionsDaily_2020_08_31.csv,12591.45,202009,2020/9/16,16,0.0084
2020/9/1,OptionsDaily_2020_09_01.csv,12703.28,202009,2020/9/16,15,0.0084
2020/9/2,OptionsDaily_2020_09_02.csv,12699.5,202009,2020/9/16,14,0.0084
2020/9/3,OptionsDaily_2020_09_03.csv,12757.97,202009,2020/9/16,13,0.0084
2020/9/4,OptionsDaily_2020_09_04.csv,12637.95,202009,2020/9/16,12,0.0084
2020/9/7,OptionsDaily_2020_09_07.csv,12601.4,202009,2020/9/16,9,0.0084
2020/9/8,OptionsDaily_2020_09_08.csv,12663.56,202009,2020/9/16,8,0.0084
2020/9/9,OptionsDaily_2020_09_09.csv,12608.58,202009,2020/9/16,7,0.0084
2020/9/10,OptionsDaily_2020_09_10.csv,12691.75,202009,2020/9/16,6,0.0084
2020/9/11,OptionsDaily_2020_09_11.csv,12675.95,202009,2020/9/16,5,0.0084
2020/9/14,OptionsDaily_2020_09_14.csv,12787.82,202009,2020/9/16,2,0.0084
2020/9/15,OptionsDaily_2020_09_15.csv,12845.65,202009,2020/9/16,1,0.0084
2020/9/16,OptionsDaily_2020_09_16.csv,12976.76,202010,2020/10/21,35,0.0084
2020/9/17,OptionsDaily_2020_09_17.csv,12872.74,202010,2020/10/21,34,0.0084
2020/9/18,OptionsDaily_2020_09_18.csv,12875.62,202010,2020/10/21,33,0.0084
2020/9/21,OptionsDaily_2020_09_21.csv,12795.12,202010,2020/10/21,30,0.0084
2020/9/22,OptionsDaily_2020_09_22.csv,12645.51,202010,2020/10/21,29,0.0084
2020/9/23,OptionsDaily_2020_09_23.csv,12583.88,202010,2020/10/21,28,0.0084
2020/9/24,OptionsDaily_2020_09_24.csv,12264.38,202010,2020/10/21,27,0.0084
2020/9/25,OptionsDaily_2020_09_25.csv,12232.91,202010,2020/10/21,26,0.0084
2020/9/28,OptionsDaily_2020_09_28.csv,12462.76,202010,2020/10/21,23,0.0084
2020/9/29,OptionsDaily_2020_09_29.csv,12467.73,202010,2020/10/21,22,0.0084
2020/9/30,OptionsDaily_2020_09_30.csv,12515.61,202010,2020/10/21,21,0.0084
2020/10/5,OptionsDaily_2020_10_05.csv,12548.28,202010,2020/10/21,16,0.0084
2020/10/6,OptionsDaily_2020_10_06.csv,12704.23,202010,2020/10/21,15,0.0084
2020/10/7,OptionsDaily_2020_10_07.csv,12746.37,202010,2020/10/21,14,0.0084
2020/10/8,OptionsDaily_2020_10_08.csv,12887.19,202010,2020/10/21,13,0.0084
2020/10/12,OptionsDaily_2020_10_12.csv,12955.91,202010,2020/10/21,9,0.0084
2020/10/13,OptionsDaily_2020_10_13.csv,12947.13,202010,2020/10/21,8,0.0084
2020/10/14,OptionsDaily_2020_10_14.csv,12919.31,202010,2020/10/21,7,0.0084
2020/10/15,OptionsDaily_2020_10_15.csv,12827.82,202010,2020/10/21,6,0.0084
2020/10/16,OptionsDaily_2020_10_16.csv,12750.37,202010,2020/10/21,5,0.0084
2020/10/19,OptionsDaily_2020_10_19.csv,12908.34,202010,2020/10/21,2,0.0084
2020/10/20,OptionsDaily_2020_10_20.csv,12862.37,202010,2020/10/21,1,0.0084
2020/10/21,OptionsDaily_2020_10_21.csv,12877.25,202011,2020/11/18,28,0.0084
2020/10/22,OptionsDaily_2020_10_22.csv,12917.03,202011,2020/11/18,27,0.0084
2020/10/23,OptionsDaily_2020_10_23.csv,12898.82,202011,2020/11/18,26,0.0084
2020/10/26,OptionsDaily_2020_10_26.csv,12909.03,202011,2020/11/18,23,0.0084
2020/10/27,OptionsDaily_2020_10_27.csv,12875.01,202011,2020/11/18,22,0.0084
2020/10/28,OptionsDaily_2020_10_28.csv,12793.75,202011,2020/11/18,21,0.0084
2020/10/29,OptionsDaily_2020_10_29.csv,12662.91,202011,2020/11/18,20,0.0084
2020/10/30,OptionsDaily_2020_10_30.csv,12546.34,202011,2020/11/18,19,0.0084
2020/11/2,OptionsDaily_2020_11_02.csv,12591.31,202011,2020/11/18,16,0.0084
2020/11/3,OptionsDaily_2020_11_03.csv,12736.01,202011,2020/11/18,15,0.0084
2020/11/4,OptionsDaily_2020_11_04.csv,12867.9,202011,2020/11/18,14,0.0084
2020/11/5,OptionsDaily_2020_11_05.csv,12918.8,202011,2020/11/18,13,0.0084
2020/11/6,OptionsDaily_2020_11_06.csv,12973.53,202011,2020/11/18,12,0.0084
2020/11/9,OptionsDaily_2020_11_09.csv,13127.47,202011,2020/11/18,9,0.0084
2020/11/10,OptionsDaily_2020_11_10.csv,13081.72,202011,2020/11/18,8,0.0084
2020/11/11,OptionsDaily_2020_11_11.csv,13262.19,202011,2020/11/18,7,0.0084
2020/11/12,OptionsDaily_2020_11_12.csv,13221.78,202011,2020/11/18,6,0.0084
2020/11/13,OptionsDaily_2020_11_13.csv,13273.33,202011,2020/11/18,5,0.0084
2020/11/16,OptionsDaily_2020_11_16.csv,13551.83,202011,2020/11/18,2,0.0084
2020/11/17,OptionsDaily_2020_11_17.csv,13593.01,202011,2020/11/18,1,0.0084
2020/11/18,OptionsDaily_2020_11_18.csv,13773.29,202012,2020/12/16,28,0.0084
2020/11/19,OptionsDaily_2020_11_19.csv,13722.43,202012,2020/12/16,27,0.0084
2020/11/20,OptionsDaily_2020_11_20.csv,13716.44,202012,2020/12/16,26,0.0084
2020/11/23,OptionsDaily_2020_11_23.csv,13878.01,202012,2020/12/16,23,0.0084
