Date,File,SO,Contract,ContractExpiry Date,Maturity,Rf
2023/9/4,2023 (4).xlsx,16789.69,202309,2023/9/20,16,0.012
2023/9/1,2023 (4).xlsx,16644.94,202309,2023/9/20,19,0.012
2023/8/31,2023 (4).xlsx,16634.51,202309,2023/9/20,20,0.012
2023/8/30,2023 (4).xlsx,16719.82,202309,2023/9/20,21,0.012
2023/8/29,2023 (4).xlsx,16623.65,202309,2023/9/20,22,0.012
2023/8/28,2023 (4).xlsx,16509.26,202309,2023/9/20,23,0.012
2023/8/25,2023 (4).xlsx,16481.58,202309,2023/9/20,26,0.012
2023/8/24,2023 (4).xlsx,16770.87,202309,2023/9/20,27,0.012
2023/8/23,2023 (4).xlsx,16576.9,202309,2023/9/20,28,0.012
2023/8/22,2023 (4).xlsx,16437.61,202309,2023/9/20,29,0.012
2023/8/21,2023 (4).xlsx,16381.49,202309,2023/9/20,30,0.012
2023/8/18,2023 (4).xlsx,16381.31,202309,2023/9/20,33,0.012
2023/8/17,2023 (4).xlsx,16516.66,202309,2023/9/20,34,0.012
2023/8/16,2023 (4).xlsx,16446.78,202308,2023/8/16,0,0.012
2023/8/15,2023 (4).xlsx,16454.8,202308,2023/8/16,1,0.012
2023/8/14,2023 (4).xlsx,16393.66,202308,2023/8/16,2,0.012
2023/8/11,2023 (4).xlsx,16601.25,202308,2023/8/16,5,0.012
2023/8/10,2023 (4).xlsx,16634.7,202308,2023/8/16,6,0.012
2023/8/9,2023 (4).xlsx,16870.94,202308,2023/8/16,7,0.012
2023/8/8,2023 (4).xlsx,16877.07,202308,2023/8/16,8,0.012
2023/8/7,2023 (4).xlsx,16996,202308,2023/8/16,9,0.012
2023/8/4,2023 (4).xlsx,16843.68,202308,2023/8/16,12,0.012
2023/8/2,2023 (4).xlsx,16893.73,202308,2023/8/16,14,0.012
2023/8/1,2023 (4).xlsx,17212.87,202308,2023/8/16,15,0.012
2023/7/31,2023 (4).xlsx,17145.43,202308,2023/8/16,16,0.012
2023/7/28,2023 (4).xlsx,17292.93,202308,2023/8/16,19,0.012
