bootstrap_id,delta_svm_minus_mnir
0,0.0777503369982821
1,0.06760305911619552
2,0.08544211681976871
3,0.08389357272978648
4,0.09000012911042898
5,0.08515141376017349
6,0.07402224625625486
7,0.065577401900338
8,0.05321780180997315
9,0.07276303859089561
10,0.068969546360992
11,0.05037959896774069
12,0.08184895040008272
13,0.06328183561152684
14,0.09934205487262965
15,0.06821951975989693
16,0.06508510050205207
17,0.0886983883186458
18,0.08482439096896005
19,0.08876941431427526
20,0.07551520915755272
21,0.07136565701835212
22,0.05578703922623518
23,0.07388872010121417
24,0.06785602014971476
25,0.07826668168108186
26,0.08232836405440502
27,0.05909706422565614
28,0.06213864360153459
29,0.05048193582968846
30,0.07217042868850787
31,0.10033177721977726
32,0.09733802700094873
33,0.04384300484589482
34,0.10225728865894318
35,0.07114561242935591
36,0.05993475681972349
37,0.07823747421089977
38,0.0765344775620807
39,0.06108975369867564
40,0.08098200513838966
41,0.09523959086775474
42,0.07892155634549552
43,0.08628416795319538
44,0.0456945911334814
45,0.048864629471182364
46,0.07335833713003537
47,0.09927157057225183
48,0.0800901044510351
49,0.0724783171292604
50,0.06674249925237652
51,0.05160634604171377
52,0.07910372878003791
53,0.0725043286364041
54,0.06767957941430236
55,0.05629031565243664
56,0.05937581585416224
57,0.08518449347109391
58,0.09591902721487255
59,0.07397002785212003
60,0.11795736423508896
61,0.06002969169586858
62,0.09468400639181385
63,0.07249127504072378
64,0.0834848771483565
65,0.07134011655817107
66,0.08080469930785222
67,0.0692904033460362
68,0.09163460846876215
69,0.07592567880450146
70,0.06435598640484758
71,0.06877363176270418
72,0.06458667951578156
73,0.06820565814472063
74,0.06840950800218254
75,0.09984435187186985
76,0.0741949759607411
77,0.08323278408186957
78,0.09384288499927784
79,0.06514229339017735
80,0.05262963536109688
81,0.05360508773021744
82,0.057297823618031374
83,0.08265454480982809
84,0.07250181980283693
85,0.09940406962419901
86,0.10016102555347939
87,0.09758056912288082
88,0.055766273891012186
89,0.069922832320717
90,0.06966697402713223
91,0.11249301269135303
92,0.07556759624134096
93,0.05992784773176374
94,0.06217991131680384
95,0.10374161808605636
96,0.07625623305657242
97,0.067344851908053
98,0.07251031857337975
99,0.07163457464851014
100,0.07605720013389478
101,0.07527874909153748
102,0.06267596942955406
103,0.06502924362997603
104,0.10559319242525322
105,0.07579734028998747
106,0.0781751902218521
107,0.08580992349066463
108,0.08381286356029993
109,0.08606620816547905
110,0.06306677784146475
111,0.04500772530023489
112,0.08751576941478223
113,0.09318798991938404
114,0.09094873812261872
115,0.07562128577795957
116,0.07040268434207836
117,0.060549867981097516
118,0.08753827960919636
119,0.10464018020650562
120,0.08681944378044543
121,0.05492254033375871
122,0.090273558692755
123,0.09377481559399475
124,0.0821927125959081
125,0.08487751736622651
126,0.10266558362077266
127,0.057434484014856846
128,0.07830390097523798
129,0.09799469476753941
130,0.09688672481157407
131,0.09338162045439136
132,0.1043120790246807
133,0.07338771518600767
134,0.07885959587677016
135,0.09572577698004137
136,0.10367502223658126
137,0.0724638600778923
138,0.07762905478010651
139,0.04509667103468645
