bootstrap_id,delta_svm_minus_mnir
0,0.10404419346361649
1,0.16022711439739257
2,0.17400204738408886
3,0.10312960951548433
4,0.17913549010118945
5,0.208504323155707
6,0.08746523454131605
7,0.014605295698926879
8,0.027159637842777418
9,0.29873560117516273
10,0.18486932026194935
11,0.02378238497055951
12,0.16681898681014373
13,0.1581198366994735
14,0.1991221521474561
15,0.2063885025040083
16,0.028653074082475194
17,0.02648553382767782
18,0.03244936144627775
19,0.028091101420329
20,0.1264942795684484
21,0.0373392328309442
22,0.22013844974449281
23,0.176276553308381
24,0.029585903484226628
25,0.29666214977840966
26,0.015326223144001339
27,0.0046500404692564334
28,0.09387705281200087
29,0.007190693910968826
30,0.24866194495058758
31,0.1127224190809597
32,0.01855078805513044
33,0.1306918640278184
34,0.029976795010136836
35,0.08521172211490646
36,0.1048948670852835
37,0.11991127306062677
38,0.11713298036217745
39,0.11528413219915123
40,0.12178619577948879
41,0.003882492925236236
42,0.10746180845902076
43,0.16719330482964923
44,0.17821584293323423
45,0.04306703349910246
46,0.2895626554219404
47,0.09574948652607862
48,0.01935964632298892
49,0.18037739342496117
50,0.10440247616599363
51,0.12695401298492626
52,0.020797080673052193
53,0.019162841388341123
54,0.10769540435865532
55,0.10676629969047624
56,0.14393914462702806
57,0.028653729663866256
58,0.16293700100881692
59,0.1090032654474562
60,0.17318878849978592
61,0.10405580054673313
62,0.03426152812596972
63,0.026631696348598743
64,0.016783852721352632
65,0.005457929004405893
66,0.005922931914402296
67,0.14245023456477812
68,0.08721629945510545
69,0.1085910766228585
70,0.014266812406932616
71,0.1193588255419511
72,0.005293813067956177
73,0.02149635336336564
74,0.019120220860784576
75,0.030835592150769364
76,0.1120860901436983
77,0.16941915661295381
78,0.20820285878733613
79,0.10185909777492774
80,0.10569107046533421
81,0.07013883644876151
82,0.1256402085429279
83,0.008514349007573085
84,0.15366593405333662
85,0.09866528507256511
86,0.21181179407569628
87,0.016820547648789153
88,0.03756021023534484
89,0.0780828746505533
90,0.18827226527483631
