,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.580110497237569,0.2447552447552447
1,TF + SVM,2.0,0.8674033149171271,0.5796932130416911
2,Proposed MNIR + SVM,0.125,0.8232044198895028,0.5453635934281825
3,TF + SVM (No Chi-square),1.0,0.8729281767955801,0.5837650004316671
4,Proposed MNIR + SVM (No Chi-square),0.0625,0.8204419889502762,0.5431433949205331
