,K,Selected Features,Feature Variant,Best C,Validation Accuracy,Validation Macro F1
0,3000,3000,tf_chi2_k3000,2.0,0.9226519337016574,0.7835593809772213
1,5000,5000,tf_chi2_k5000,1.0,0.9171270718232044,0.7797744890768147
2,10000,5773,tf_chi2_k5773,1.0,0.9171270718232044,0.7797744890768147
3,1000,1000,tf_chi2_k1000,4.0,0.9116022099447514,0.7757781255433839
