,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.580110497237569,0.24475524475524477
1,TFIDF + SVM,0.5,0.856353591160221,0.5715595504146304
2,Proposed MNIR + SVM,0.125,0.8121546961325967,0.5372879451746995
